"","sample_name","class","x","y","confidence"
"1","15-12184-1_[42736,11079].im3","Tumour",1278,7,"97.32 %"
"2","15-12184-1_[42736,11079].im3","Tumour",988,6,"89.15 %"
"3","15-12184-1_[42736,11079].im3","Tumour",943,7,"98.95 %"
"4","15-12184-1_[42736,11079].im3","Tumour",1068,10,"90.54 %"
"5","15-12184-1_[42736,11079].im3","Tumour",954,11,"97.43 %"
"6","15-12184-1_[42736,11079].im3","Tumour",1099,6,"99.71 %"
"7","15-12184-1_[42736,11079].im3","Tumour",909,14,"99.18 %"
"8","15-12184-1_[42736,11079].im3","Tumour",1137,11,"86.58 %"
"9","15-12184-1_[42736,11079].im3","Tumour",1308,15,"97.39 %"
"10","15-12184-1_[42736,11079].im3","Tumour",896,15,"97.99 %"
"11","15-12184-1_[42736,11079].im3","Tumour",886,18,"96.73 %"
"12","15-12184-1_[42736,11079].im3","Tumour",997,21,"96.07 %"
"13","15-12184-1_[42736,11079].im3","Tumour",1205,20,"91.53 %"
"14","15-12184-1_[42736,11079].im3","Tumour",1092,21,"89.93 %"
"15","15-12184-1_[42736,11079].im3","Tumour",1281,20,"96.81 %"
"16","15-12184-1_[42736,11079].im3","Tumour",1044,21,"99.20 %"
"17","15-12184-1_[42736,11079].im3","Tumour",932,28,"95.51 %"
"18","15-12184-1_[42736,11079].im3","Tumour",1148,29,"92.39 %"
"19","15-12184-1_[42736,11079].im3","Tumour",1182,29,"95.01 %"
"20","15-12184-1_[42736,11079].im3","Tumour",1115,28,"97.81 %"
"21","15-12184-1_[42736,11079].im3","Tumour",1198,29,"84.99 %"
"22","15-12184-1_[42736,11079].im3","Tumour",1216,31,"26.94 %"
"23","15-12184-1_[42736,11079].im3","unlabelled",1242,28,"36.43 %"
"24","15-12184-1_[42736,11079].im3","Tumour",1290,30,"97.17 %"
"25","15-12184-1_[42736,11079].im3","CD8 NFAT-",973,33,"68.98 %"
"26","15-12184-1_[42736,11079].im3","CD8 NFAT-",994,35,"96.64 %"
"27","15-12184-1_[42736,11079].im3","Tumour",1194,38,"93.30 %"
"28","15-12184-1_[42736,11079].im3","CD8 NFAT-",1248,38,"35.08 %"
"29","15-12184-1_[42736,11079].im3","Tumour",1176,40,"97.64 %"
"30","15-12184-1_[42736,11079].im3","Tumour",1131,41,"93.83 %"
"31","15-12184-1_[42736,11079].im3","CD8 NFAT-",956,45,"65.61 %"
"32","15-12184-1_[42736,11079].im3","CD8 NFAT-",1029,43,"98.54 %"
"33","15-12184-1_[42736,11079].im3","Tumour",1070,45,"95.42 %"
"34","15-12184-1_[42736,11079].im3","Tumour",1296,45,"96.53 %"
"35","15-12184-1_[42736,11079].im3","Tumour",863,44,"97.03 %"
"36","15-12184-1_[42736,11079].im3","Tumour",899,44,"73.09 %"
"37","15-12184-1_[42736,11079].im3","unlabelled",1275,46,"93.79 %"
"38","15-12184-1_[42736,11079].im3","Tumour",1206,49,"97.72 %"
"39","15-12184-1_[42736,11079].im3","Tumour",1160,48,"44.57 %"
"40","15-12184-1_[42736,11079].im3","CD8 NFAT-",973,49,"100.00 %"
"41","15-12184-1_[42736,11079].im3","Tumour",880,52,"94.85 %"
"42","15-12184-1_[42736,11079].im3","CD8 NFAT-",1006,51,"97.13 %"
"43","15-12184-1_[42736,11079].im3","unlabelled",835,53,"35.03 %"
"44","15-12184-1_[42736,11079].im3","Tumour",912,51,"97.35 %"
"45","15-12184-1_[42736,11079].im3","Tumour",1115,52,"92.05 %"
"46","15-12184-1_[42736,11079].im3","unlabelled",1337,53,"67.95 %"
"47","15-12184-1_[42736,11079].im3","CD4 NFAT+",895,59,"95.69 %"
